Time,House AB
4/16/2021 0:00,536.65
4/16/2021 0:10,440.35
4/16/2021 0:20,440.25
4/16/2021 0:30,443.65
4/16/2021 0:40,498.4
4/16/2021 0:50,639.7
4/16/2021 1:00,681.75
4/16/2021 1:10,570.9
4/16/2021 1:20,567.8
4/16/2021 1:30,607.25
4/16/2021 1:40,898.15
4/16/2021 1:50,500.1
4/16/2021 2:00,563.05
4/16/2021 2:10,638.4
4/16/2021 2:20,591.2
4/16/2021 2:30,577.1
4/16/2021 2:40,585.8
4/16/2021 2:50,562.95
4/16/2021 3:00,882.1
4/16/2021 3:10,501.5
4/16/2021 3:20,572.95
4/16/2021 3:30,646.4
4/16/2021 3:40,578.95
4/16/2021 3:50,1092.05
4/16/2021 4:00,624.65
4/16/2021 4:10,480.1
4/16/2021 4:20,440.95
4/16/2021 4:30,450.6
4/16/2021 4:40,1118.95
4/16/2021 4:50,663.8
4/16/2021 5:00,526.85
4/16/2021 5:10,1007.9
4/16/2021 5:20,695.65
4/16/2021 5:30,572.9
4/16/2021 5:40,452.15
4/16/2021 5:50,713.85
4/16/2021 6:00,853
4/16/2021 6:10,736.5
4/16/2021 6:20,913
4/16/2021 6:30,596.8
4/16/2021 6:40,937.85
4/16/2021 6:50,722.95
4/16/2021 7:00,492.55
4/16/2021 7:10,470.1
4/16/2021 7:20,585.8
4/16/2021 7:30,648.9
4/16/2021 7:40,950.1
4/16/2021 7:50,566.6
4/16/2021 8:00,567.4
4/16/2021 8:10,1032.9
4/16/2021 8:20,455.9
4/16/2021 8:30,453.7
4/16/2021 8:40,598.3
4/16/2021 8:50,634.8
4/16/2021 9:00,480.2
4/16/2021 9:10,788.75
4/16/2021 9:20,804.25
4/16/2021 9:30,676.9
4/16/2021 9:40,817.55
4/16/2021 9:50,832.55
4/16/2021 10:00,1040.35
4/16/2021 10:10,1013.2
4/16/2021 10:20,838.05
4/16/2021 10:30,940.5
4/16/2021 10:40,974.65
4/16/2021 10:50,950.25
4/16/2021 11:00,825.4
4/16/2021 11:10,807.1
4/16/2021 11:20,1021.75
4/16/2021 11:30,1017.1
4/16/2021 11:40,956
4/16/2021 11:50,1430.3
4/16/2021 12:00,668.85
4/16/2021 12:10,721.55
4/16/2021 12:20,717.85
4/16/2021 12:30,626.6
4/16/2021 12:40,478.85
4/16/2021 12:50,478.6
4/16/2021 13:00,481.75
4/16/2021 13:10,602.6
4/16/2021 13:20,611.9
4/16/2021 13:30,839.3
4/16/2021 13:40,687.95
4/16/2021 13:50,520
4/16/2021 14:00,479.4
4/16/2021 14:10,477.8
4/16/2021 14:20,1749.45
4/16/2021 14:30,828.6
4/16/2021 14:40,651.7
4/16/2021 14:50,568.45
4/16/2021 15:00,456.25
4/16/2021 15:10,435.7
4/16/2021 15:20,582.7
4/16/2021 15:30,658.5
4/16/2021 15:40,493.2
4/16/2021 15:50,572.85
4/16/2021 16:00,566.6
4/16/2021 16:10,563.75
4/16/2021 16:20,485.9
4/16/2021 16:30,662.55
4/16/2021 16:40,583.1
4/16/2021 16:50,435.35
4/16/2021 17:00,435.75
4/16/2021 17:10,576.25
4/16/2021 17:20,565
4/16/2021 17:30,728.35
4/16/2021 17:40,636.65
4/16/2021 17:50,693.85
4/16/2021 18:00,763.9
4/16/2021 18:10,714.8
4/16/2021 18:20,609.4
4/16/2021 18:30,754.85
4/16/2021 18:40,692.7
4/16/2021 18:50,845.55
4/16/2021 19:00,711
4/16/2021 19:10,569.7
4/16/2021 19:20,499.15
4/16/2021 19:30,514.5
4/16/2021 19:40,1253.2
4/16/2021 19:50,1379.6
4/16/2021 20:00,856.9
4/16/2021 20:10,575.45
4/16/2021 20:20,466.3
4/16/2021 20:30,486.1
4/16/2021 20:40,444.8
4/16/2021 20:50,1158.9
4/16/2021 21:00,1188
4/16/2021 21:10,901.8
4/16/2021 21:20,812.35
4/16/2021 21:30,819.7
4/16/2021 21:40,660.95
4/16/2021 21:50,650.65
4/16/2021 22:00,767.75
4/16/2021 22:10,813.8
4/16/2021 22:20,640.55
4/16/2021 22:30,766.6
4/16/2021 22:40,1107.6
4/16/2021 22:50,1015.35
4/16/2021 23:00,641.65
4/16/2021 23:10,475.8
4/16/2021 23:20,468.55
4/16/2021 23:30,495.7
4/16/2021 23:40,489.8
4/16/2021 23:50,704.75
4/17/2021 0:00,790.85
4/17/2021 0:10,641.7
4/17/2021 0:20,472.8
4/17/2021 0:30,496.1
4/17/2021 0:40,477.6
4/17/2021 0:50,484.6
4/17/2021 1:00,576.35
4/17/2021 1:10,801.85
4/17/2021 1:20,649.9
4/17/2021 1:30,590.7
4/17/2021 1:40,473.05
4/17/2021 1:50,913.7
4/17/2021 2:00,604.35
4/17/2021 2:10,599.9
4/17/2021 2:20,669.4
4/17/2021 2:30,713.05
4/17/2021 2:40,599.35
4/17/2021 2:50,576
4/17/2021 3:00,486.15
4/17/2021 3:10,890.4
